repository,user_1,user_2,user_3,user_4,user_5,user_6,user_7,user_8,user_9,user_10,user_11,user_12,user_13
"amashfak2020-ai/.net_app","amashfak2020-ai","","","","","","","","","","","",""
"amashfak2020-ai/ai-agent","amashfak2020-ai","","","","","","","","","","","",""
"amashfak2020-ai/amashfak2020-ai","amashfak2020-ai","","","","","","","","","","","",""
"amashfak2020-ai/cicd-with-dot-net","ajay04","amashfak2020-ai","","","","","","","","","","",""
"amashfak2020-ai/claude-flow","ruvnet","claude","alexx-ftw","tommy-ca","lanemc","amashfak2020-ai","busla","Andycodeman","coygeek","6farer","mosdehcom","michaelozery","nagyv"
"amashfak2020-ai/devops-directive-docker-course","sidpalas","abdelhaqelamraoui","torgoton","mesmith027","kkzxak47","","","","","","","",""
"amashfak2020-ai/docker-ubuntu","amashfak2020-ai","","","","","","","","","","","",""
"amashfak2020-ai/Java_app","amashfak2020-ai","","","","","","","","","","","",""
"amashfak2020-ai/My-Reusable","amashfak2020-ai","","","","","","","","","","","",""
"amashfak2020-ai/new_repo1","amashfak2020-ai","","","","","","","","","","","",""
"amashfak2020-ai/pager-duty-integration","amashfak2020-ai","","","","","","","","","","","",""
"amashfak2020-ai/user-report","amashfak2020-ai","","","","","","","","","","","",""
"amashfak2020-ai/website-simple-healthcheck","amashfak2020-ai","","","","","","","","","","","",""
25 Tamarisk Avenue
Hesperia, CA, 92345 